Item,Estimated_Cost,Actual_Cost,Budget
Packaging,1586,6577,50000
Packaging,1054,5595,50000
Logistics,7777,1502,50000
Transport,9327,5199,50000
Logistics,8539,1558,50000
Transport,6142,5943,50000
Raw Materials,9729,3050,50000
Transport,8927,5236,50000
Labor,3207,7737,50000
Packaging,3565,6247,50000
Maintenance,2728,1808,50000
Raw Materials,6496,3422,50000
Packaging,1707,7150,50000
Marketing,2240,5126,50000
Packaging,5359,1636,50000
Raw Materials,2575,7162,50000
Labor,3989,1046,50000
Utilities,7143,4214,50000
Marketing,5979,5551,50000
Maintenance,7222,1623,50000
Transport,6586,7689,50000
Raw Materials,5160,1284,50000
Marketing,1568,1371,50000
Raw Materials,2442,2541,50000
Maintenance,1946,7122,50000
Raw Materials,9243,8315,50000
Logistics,7969,7126,50000
Packaging,8193,6458,50000
Packaging,5487,1720,50000
Marketing,1233,8347,50000
Labor,5527,2892,50000
Utilities,5703,6069,50000
Marketing,3551,7709,50000
Raw Materials,5728,6706,50000
Maintenance,1615,3552,50000
Packaging,2924,6676,50000
Transport,8344,6490,50000
Transport,4928,6560,50000
Maintenance,3345,5032,50000
Raw Materials,5889,1844,50000
Utilities,3772,1414,50000
Logistics,1918,2183,50000
Maintenance,6195,4495,50000
Raw Materials,8718,3406,50000
Marketing,5855,6894,50000
Utilities,7243,2965,50000
Logistics,1273,3480,50000
Logistics,3345,8985,50000
Labor,4073,8792,50000
Raw Materials,4757,2968,50000
Logistics,7352,7735,50000
Transport,6690,1853,50000
Transport,5792,2309,50000
Packaging,7589,9683,50000
Utilities,3888,9130,50000
Logistics,3718,9472,50000
Labor,9788,4451,50000
Raw Materials,5384,2351,50000
Labor,3239,7588,50000
Packaging,5361,7821,50000
Marketing,4844,3600,50000
Labor,7386,7958,50000
Marketing,5773,6078,50000
Transport,5776,8747,50000
Marketing,9892,4233,50000
Raw Materials,5915,7663,50000
Utilities,6559,7410,50000
Utilities,2633,7614,50000
Raw Materials,5681,5854,50000
Raw Materials,9269,6186,50000
Raw Materials,4745,7861,50000
Maintenance,3746,6979,50000
Logistics,4285,4594,50000
Packaging,4250,8709,50000
Marketing,8997,7785,50000
Logistics,8196,7295,50000
Raw Materials,3652,8373,50000
Utilities,7571,1641,50000
Labor,5925,4522,50000
Labor,2764,7041,50000
Maintenance,6187,7300,50000
Logistics,6581,2395,50000
Logistics,1764,8473,50000
Logistics,7597,2347,50000
Marketing,5112,7478,50000
Marketing,8088,6270,50000
Packaging,5247,4179,50000
Marketing,9652,6607,50000
Utilities,9791,8806,50000
Utilities,8485,6720,50000
Logistics,6197,6167,50000
Packaging,5634,5366,50000
Logistics,9487,3553,50000
Maintenance,7543,4052,50000
Marketing,5533,2082,50000
Marketing,2422,8115,50000
Logistics,9856,4919,50000
Logistics,8211,1409,50000
Raw Materials,4443,9519,50000
Logistics,9750,2178,50000
Marketing,3532,8386,50000
Utilities,2107,4698,50000
Raw Materials,5761,8082,50000
Raw Materials,7060,4496,50000
Marketing,1105,4772,50000
Labor,4678,1748,50000
Transport,9135,7431,50000
Logistics,1790,6341,50000
Utilities,5945,1250,50000
Labor,9361,6308,50000
Marketing,7923,5240,50000
Logistics,5445,4720,50000
Marketing,7609,7584,50000
Logistics,7104,5977,50000
Logistics,2932,4359,50000
Labor,2751,4025,50000
Marketing,6200,6764,50000
Utilities,9640,6414,50000
Packaging,3679,9846,50000
Logistics,2392,5532,50000
Raw Materials,2818,5994,50000
Maintenance,2683,1056,50000
Marketing,3249,6938,50000
Marketing,2048,9953,50000
Labor,6690,8946,50000
Logistics,7051,9600,50000
Raw Materials,8214,7032,50000
Labor,8584,2974,50000
Packaging,5629,1925,50000
Logistics,5202,8177,50000
Utilities,9901,4995,50000
Labor,6088,5802,50000
Marketing,1446,8377,50000
Logistics,3509,6609,50000
Raw Materials,8549,2151,50000
Utilities,2072,6881,50000
Marketing,4128,3344,50000
Utilities,8175,9252,50000
Marketing,7839,3075,50000
Marketing,5118,3451,50000
Marketing,8745,7181,50000
Logistics,6890,7284,50000
Maintenance,9628,7175,50000
Transport,6004,4734,50000
Raw Materials,2092,1607,50000
Packaging,1593,6715,50000
Maintenance,1276,3570,50000
Transport,5587,7000,50000
Utilities,9274,3968,50000
Transport,4383,2132,50000
Logistics,8553,3083,50000
Logistics,1467,1237,50000
Logistics,6260,5915,50000
Transport,1997,9866,50000
Maintenance,3379,9216,50000
Raw Materials,6048,1641,50000
Labor,5095,2457,50000
Transport,8821,9730,50000
Logistics,8025,6041,50000
Labor,1093,3595,50000
Labor,8293,9985,50000
Marketing,2909,1899,50000
Labor,8054,2729,50000
Utilities,2879,5808,50000
Utilities,2158,6185,50000
Marketing,6221,9375,50000
Raw Materials,1357,6629,50000
Packaging,9333,1265,50000
Raw Materials,3218,3471,50000
Utilities,8532,4655,50000
Packaging,8906,4384,50000
Marketing,9693,8984,50000
Raw Materials,7074,4777,50000
Packaging,8925,3908,50000
Packaging,1885,5039,50000
Transport,3939,7127,50000
Raw Materials,9794,2687,50000
Marketing,6818,1479,50000
Packaging,2724,6930,50000
Utilities,6929,7084,50000
Logistics,1171,3156,50000
Transport,5676,5223,50000
Labor,2301,3948,50000
Labor,1083,8014,50000
Labor,7231,1680,50000
Utilities,5828,9144,50000
Logistics,7679,4021,50000
Packaging,2786,5700,50000
Marketing,5309,5292,50000
Labor,9998,3911,50000
Raw Materials,9502,1154,50000
Labor,2760,7752,50000
Packaging,6491,9908,50000
Maintenance,3230,4578,50000
Utilities,7341,6078,50000
Maintenance,2982,2255,50000
Labor,7553,5067,50000
Logistics,7864,6679,50000
Packaging,1356,3851,50000
Labor,5951,4117,50000
Maintenance,6060,5414,50000
Packaging,5734,8505,50000
Utilities,3311,9406,50000
Utilities,6610,6610,50000
Labor,9718,3929,50000
Utilities,4244,1786,50000
Transport,7884,4484,50000
Packaging,1364,6436,50000
Logistics,8562,3170,50000
Packaging,4331,1282,50000
Utilities,1112,9209,50000
Packaging,5574,6877,50000
Maintenance,3529,3568,50000
Marketing,7571,5952,50000
Maintenance,8684,2383,50000
Raw Materials,9151,6722,50000
Transport,9772,9464,50000
Marketing,9567,5932,50000
Labor,3977,6404,50000
Packaging,3613,4617,50000
Logistics,1484,2181,50000
Raw Materials,7880,4615,50000
Raw Materials,4760,7192,50000
Logistics,6632,2245,50000
Transport,2710,2597,50000
Marketing,2160,4819,50000
Raw Materials,7417,1415,50000
Logistics,1230,1187,50000
Marketing,7374,6540,50000
Marketing,4186,7919,50000
Utilities,7853,5139,50000
Raw Materials,3562,3166,50000
Marketing,3031,8521,50000
Transport,1111,2386,50000
Raw Materials,4217,6726,50000
Transport,6907,5288,50000
Transport,9195,9777,50000
Marketing,7252,6417,50000
Marketing,4149,6845,50000
Utilities,2720,3636,50000
Logistics,5834,3679,50000
Packaging,3096,5906,50000
Utilities,1521,2914,50000
Raw Materials,3423,4377,50000
Utilities,6242,6657,50000
Labor,7731,5577,50000
Logistics,1634,3748,50000
Raw Materials,9840,1345,50000
Logistics,8685,4835,50000
Transport,1366,5205,50000
Utilities,7289,6893,50000
Utilities,4783,1146,50000
Packaging,7026,1072,50000
Utilities,4988,3461,50000
Marketing,5307,4225,50000
Transport,6377,3621,50000
Utilities,9816,5238,50000
Maintenance,2803,6729,50000
Maintenance,2234,8530,50000
Logistics,8250,1972,50000
Transport,1761,3264,50000
Utilities,9540,6046,50000
Packaging,7331,5815,50000
Labor,8585,1191,50000
Packaging,7970,6357,50000
Labor,1895,6673,50000
Raw Materials,8451,7146,50000
Raw Materials,1330,9778,50000
Packaging,4551,5510,50000
Utilities,1922,3694,50000
Logistics,2518,1661,50000
Packaging,6428,3491,50000
Raw Materials,4450,7157,50000
Marketing,6113,2606,50000
Labor,4338,9604,50000
Transport,9196,4696,50000
Logistics,9097,4021,50000
Packaging,7461,5498,50000
Utilities,9238,5757,50000
Utilities,6334,5506,50000
Logistics,9490,6133,50000
Maintenance,9252,2809,50000
Labor,8141,1465,50000
Logistics,4487,1433,50000
Logistics,6758,2258,50000
Labor,2824,3154,50000
Labor,1755,1992,50000
Packaging,9767,1681,50000
Raw Materials,8110,3848,50000
Marketing,3224,4814,50000
Packaging,7419,7602,50000
Logistics,1533,8494,50000
Transport,2991,9511,50000
Raw Materials,1863,5066,50000
Packaging,5507,6319,50000
Marketing,4026,4218,50000
Logistics,6961,8358,50000
Logistics,2208,4290,50000
Labor,2610,2831,50000
Marketing,5327,4194,50000
Raw Materials,2097,9703,50000
Packaging,1252,5651,50000
Logistics,1433,1851,50000
Labor,2956,5264,50000
Packaging,3788,5750,50000
Raw Materials,1083,5403,50000
Transport,9903,6955,50000
Labor,6776,9582,50000
Marketing,4045,2938,50000
Raw Materials,9408,4253,50000
Logistics,8628,6965,50000
Maintenance,6356,9196,50000
Marketing,5015,9152,50000
Logistics,3558,9393,50000
Marketing,3276,7547,50000
Labor,5393,4339,50000
Packaging,3665,2606,50000
Utilities,1504,1791,50000
Marketing,5746,9704,50000
Raw Materials,4835,9072,50000
Maintenance,7583,9331,50000
Transport,1940,6097,50000
Maintenance,5257,9246,50000
Raw Materials,7137,7458,50000
Labor,5702,3809,50000
Raw Materials,5953,7844,50000
Utilities,2912,5741,50000
Utilities,8239,5672,50000
Utilities,7725,2230,50000
Marketing,1401,8239,50000
Labor,4444,8761,50000
Packaging,4347,5118,50000
Utilities,2349,8278,50000
Packaging,4087,6177,50000
Transport,7050,7876,50000
Transport,3230,4289,50000
Packaging,5963,7453,50000
Logistics,2791,8438,50000
Raw Materials,8360,8154,50000
Utilities,8181,9881,50000
Marketing,5119,2972,50000
Logistics,7949,1374,50000
Transport,5350,9243,50000
Maintenance,5044,9636,50000
Labor,8474,4749,50000
Maintenance,2341,2111,50000
Packaging,3814,2940,50000
Logistics,8945,5576,50000
Transport,9613,3483,50000
Transport,9322,4863,50000
Raw Materials,6544,2446,50000
Raw Materials,8312,9348,50000
Utilities,5314,3953,50000
Packaging,9388,2440,50000
Labor,7738,2066,50000
Utilities,6980,3349,50000
Logistics,7926,8934,50000
Raw Materials,5713,2408,50000
Marketing,2635,1276,50000
Labor,2394,1526,50000
Marketing,3436,2073,50000
Logistics,2835,8290,50000
Utilities,9238,7288,50000
Raw Materials,6277,7979,50000
Labor,8947,6496,50000
Logistics,7565,7953,50000
Utilities,2051,8785,50000
Transport,6296,2317,50000
Utilities,9878,5781,50000
Packaging,7862,7462,50000
Maintenance,3909,5651,50000
Transport,1757,5106,50000
Marketing,8435,7039,50000
Transport,9245,3430,50000
Utilities,7528,3525,50000
Logistics,7666,5109,50000
Transport,7366,6463,50000
Maintenance,4638,2234,50000
Packaging,9099,6983,50000
Utilities,3333,4213,50000
Maintenance,2603,6380,50000
Transport,7967,7982,50000
Maintenance,9635,8891,50000
Transport,7910,3430,50000
Labor,5364,7583,50000
Transport,1907,9144,50000
Raw Materials,4451,1067,50000
Maintenance,3140,1324,50000
Logistics,1594,8490,50000
Packaging,8947,8472,50000
Maintenance,2539,6423,50000
Marketing,9345,2893,50000
Packaging,8871,1405,50000
Packaging,8039,4657,50000
Marketing,8033,4223,50000
Raw Materials,1417,3822,50000
Maintenance,5348,9981,50000
Packaging,7911,9862,50000
Maintenance,5407,1442,50000
Packaging,7942,8335,50000
Marketing,4863,6762,50000
Marketing,5530,5184,50000
Transport,5032,1455,50000
Utilities,4425,2795,50000
Maintenance,2005,9599,50000
Maintenance,5360,3344,50000
Packaging,7250,8095,50000
Transport,3979,3160,50000
Logistics,1439,6743,50000
Maintenance,2837,8022,50000
Packaging,4209,3819,50000
Raw Materials,1894,7015,50000
Marketing,1650,4739,50000
Marketing,8795,8324,50000
Utilities,8661,3211,50000
Marketing,5985,4123,50000
Labor,3562,4878,50000
Raw Materials,7075,9813,50000
Raw Materials,5215,6932,50000
Transport,4783,1762,50000
Labor,1054,6243,50000
Maintenance,2517,8046,50000
Utilities,9547,1783,50000
Raw Materials,6587,4452,50000
Labor,5869,2150,50000
Labor,6007,2509,50000
Packaging,6841,2854,50000
Raw Materials,3265,5596,50000
Logistics,9915,5310,50000
Packaging,7124,2153,50000
Transport,4389,4843,50000
Labor,5359,9793,50000
Marketing,8185,1061,50000
Labor,2837,8210,50000
Maintenance,9623,9299,50000
Raw Materials,2819,3637,50000
Logistics,3377,1384,50000
Maintenance,5371,4394,50000
Transport,2445,1701,50000
Utilities,8080,9163,50000
Marketing,5822,2031,50000
Raw Materials,2903,1509,50000
Labor,2915,9147,50000
Marketing,6267,8211,50000
Labor,4121,4708,50000
Transport,9776,2902,50000
Utilities,4965,8650,50000
Logistics,3152,8599,50000
Logistics,1291,1717,50000
Raw Materials,7375,1178,50000
Transport,6220,5676,50000
Transport,7402,9064,50000
Utilities,6602,4161,50000
Transport,8779,4342,50000
Transport,4228,9882,50000
Labor,8047,9532,50000
Packaging,5008,7756,50000
Maintenance,8587,8440,50000
Labor,8581,8423,50000
Logistics,5656,5190,50000
Utilities,2002,7864,50000
Marketing,5552,2107,50000
Utilities,2539,2076,50000
Utilities,9275,6528,50000
Utilities,2936,7846,50000
Utilities,4285,9577,50000
Transport,4462,5228,50000
Utilities,3406,9047,50000
Marketing,6492,1194,50000
Utilities,2597,7903,50000
Labor,9249,1766,50000
Transport,7827,3859,50000
Logistics,6945,7816,50000
Labor,3921,9866,50000
Logistics,7983,8909,50000
Transport,7229,7378,50000
Labor,8022,7987,50000
Logistics,7810,8187,50000
Raw Materials,8546,7796,50000
Maintenance,7466,2558,50000
Maintenance,5106,5137,50000
Transport,4939,3110,50000
Raw Materials,8745,1112,50000
Marketing,9454,2054,50000
Raw Materials,8191,8461,50000
Packaging,6003,4576,50000
Transport,9645,7518,50000
Raw Materials,4671,2601,50000
Marketing,7423,8032,50000
Transport,9171,8970,50000
Maintenance,1198,4767,50000
Utilities,6897,4072,50000
Raw Materials,4814,7510,50000
Maintenance,6975,1983,50000
Maintenance,8450,4484,50000
Labor,1285,6686,50000
Marketing,2151,9993,50000
Packaging,1257,3511,50000
Utilities,1775,2527,50000
Raw Materials,9702,5888,50000
Maintenance,1700,4170,50000
Maintenance,5236,5092,50000
Packaging,1977,8070,50000
Marketing,7036,8852,50000
Utilities,5835,8088,50000
Logistics,7250,5542,50000
Utilities,6761,3918,50000
Packaging,4966,2208,50000
Maintenance,2875,7875,50000
Maintenance,1212,6632,50000
Maintenance,6772,5023,50000
Maintenance,5483,1239,50000
Logistics,8281,9092,50000
Labor,8705,3382,50000
Labor,1797,7856,50000
Packaging,1037,4435,50000
Utilities,8258,1082,50000
Transport,8376,6442,50000
Logistics,5156,2577,50000
Logistics,5353,1181,50000
Raw Materials,1134,2138,50000
Marketing,3383,4154,50000
Transport,4072,3300,50000
Labor,3773,9053,50000
Labor,9277,8277,50000
Labor,7810,8622,50000
Transport,7715,4207,50000
Logistics,6667,6188,50000
Labor,9992,8260,50000
Transport,8568,7117,50000
Labor,6956,4317,50000
Maintenance,5002,4256,50000
Logistics,6586,6724,50000
Maintenance,8018,1744,50000
Raw Materials,3222,7690,50000
Logistics,6720,8860,50000
Labor,2082,2163,50000
Packaging,6692,6904,50000
Raw Materials,9597,1314,50000
Transport,3534,3029,50000
Raw Materials,9474,3510,50000
Labor,9928,9406,50000
Transport,5551,8698,50000
Packaging,1221,7325,50000
Transport,3927,1759,50000
Maintenance,8769,3791,50000
Transport,2955,6495,50000
Transport,9044,8632,50000
Raw Materials,1715,8538,50000
Packaging,2064,2317,50000
Utilities,8596,7794,50000
Transport,5875,1149,50000
Marketing,9899,3956,50000
Utilities,7393,3665,50000
Maintenance,3754,1111,50000
Packaging,6727,1894,50000
Packaging,6849,3810,50000
Logistics,3051,4616,50000
Maintenance,9640,4132,50000
Transport,9702,5358,50000
Raw Materials,8684,6403,50000
Utilities,8041,7501,50000
Logistics,9237,9992,50000
Maintenance,7269,4905,50000
Maintenance,8993,6224,50000
Marketing,2894,1470,50000
Transport,2166,4030,50000
Logistics,2449,7308,50000
Utilities,3397,1500,50000
Maintenance,4506,9325,50000
Packaging,9469,8467,50000
Maintenance,8261,1069,50000
Maintenance,4956,1805,50000
Maintenance,7473,5703,50000
Logistics,2473,4445,50000
Raw Materials,1477,6092,50000
Labor,8317,2749,50000
Marketing,8820,4311,50000
Packaging,8910,8463,50000
Raw Materials,1509,2205,50000
Marketing,9948,8058,50000
Maintenance,6934,4479,50000
Logistics,5126,3656,50000
Marketing,2061,2875,50000
Transport,5646,6894,50000
Transport,5771,5737,50000
Labor,1355,1753,50000
Labor,4008,7311,50000
Marketing,5362,1296,50000
Raw Materials,1289,6739,50000
Raw Materials,8940,1882,50000
Maintenance,1012,7914,50000
Raw Materials,7792,4441,50000
Labor,1388,7030,50000
Raw Materials,2957,6457,50000
Maintenance,4677,6728,50000
Transport,4419,3503,50000
Raw Materials,7341,4582,50000
Raw Materials,4240,6101,50000
Labor,4755,1375,50000
Marketing,3204,8859,50000
Transport,2347,2733,50000
Logistics,9142,5643,50000
Marketing,7413,4943,50000
Logistics,9253,7070,50000
Maintenance,1497,2190,50000
Maintenance,8824,3998,50000
Marketing,9929,6571,50000
Labor,7260,9377,50000
Utilities,1914,2256,50000
Logistics,5963,4827,50000
Labor,4649,2232,50000
Utilities,3374,9946,50000
Utilities,6659,8504,50000
Labor,7876,1076,50000
Utilities,8444,5452,50000
Utilities,6922,8418,50000
Utilities,3533,6011,50000
Transport,7675,6500,50000
Maintenance,2222,4372,50000
Utilities,7854,7378,50000
Maintenance,8263,2553,50000
Packaging,9062,3531,50000
Maintenance,1088,7311,50000
Packaging,8685,8345,50000
Transport,3994,8425,50000
Maintenance,8066,6700,50000
Marketing,4581,9370,50000
Raw Materials,9715,1227,50000
Transport,7418,5728,50000
Raw Materials,9656,2350,50000
Marketing,9846,5712,50000
Labor,9644,3270,50000
Labor,1291,4916,50000
Utilities,8161,9189,50000
Logistics,4668,2756,50000
Labor,2833,5427,50000
Transport,4674,1694,50000
Labor,2917,8898,50000
Transport,4613,1666,50000
Transport,2209,1780,50000
Raw Materials,9442,8059,50000
Labor,3668,5291,50000
Maintenance,2463,4530,50000
Packaging,4284,5368,50000
Labor,9535,9570,50000
Labor,4925,3445,50000
Labor,8146,9668,50000
Utilities,6781,1346,50000
Maintenance,6613,3903,50000
Maintenance,6216,9937,50000
Transport,5962,4074,50000
Maintenance,8801,9652,50000
Transport,1085,6875,50000
Packaging,2040,7581,50000
Raw Materials,3291,6252,50000
Transport,6917,9545,50000
Labor,8385,8688,50000
Marketing,2932,5379,50000
Logistics,7149,2593,50000
Marketing,1380,7721,50000
Utilities,1778,7001,50000
Labor,4306,9859,50000
Logistics,4455,2580,50000
Transport,1123,1771,50000
Labor,2083,2148,50000
Logistics,3057,3175,50000
Utilities,7739,9513,50000
Maintenance,4218,6885,50000
Transport,5552,8229,50000
Packaging,5707,7333,50000
Labor,2806,1933,50000
Maintenance,6670,7240,50000
Logistics,8666,9673,50000
Utilities,4669,7650,50000
Maintenance,5645,3093,50000
Transport,3739,1744,50000
Utilities,3958,1339,50000
Utilities,8186,8211,50000
Utilities,8330,6060,50000
Logistics,1713,4064,50000
Raw Materials,8950,3013,50000
Utilities,3999,2428,50000
Raw Materials,9434,1229,50000
Maintenance,9851,8118,50000
Packaging,1996,1274,50000
Raw Materials,1970,7938,50000
Maintenance,8944,1657,50000
Raw Materials,2540,7998,50000
Maintenance,1650,8762,50000
Maintenance,7246,7438,50000
Logistics,6978,8460,50000
Packaging,4763,3433,50000
Utilities,3195,5969,50000
Packaging,5765,5052,50000
Packaging,1768,4452,50000
Utilities,5514,4026,50000
Maintenance,2945,3382,50000
Utilities,9159,2128,50000
Maintenance,3824,4208,50000
Utilities,4184,1693,50000
Logistics,5628,9416,50000
Marketing,9419,6606,50000
Raw Materials,2626,9129,50000
Packaging,4037,7336,50000
Maintenance,8319,8864,50000
Labor,5273,5195,50000
Utilities,3013,7926,50000
Utilities,5563,4369,50000
Transport,7299,9247,50000
Labor,7403,6708,50000
Labor,7539,4915,50000
Logistics,6698,2617,50000
Packaging,1270,6121,50000
Marketing,8204,2534,50000
Raw Materials,1392,9620,50000
Marketing,8391,3622,50000
Raw Materials,5989,2198,50000
Maintenance,9785,7011,50000
Packaging,3609,8238,50000
Marketing,6197,7482,50000
Transport,9499,2505,50000
Raw Materials,5677,9878,50000
Marketing,1559,8812,50000
Packaging,7002,2523,50000
Transport,5008,9909,50000
Packaging,2395,7324,50000
Labor,5372,2239,50000
Utilities,5557,6210,50000
Maintenance,7765,8445,50000
Logistics,4480,3860,50000
Packaging,7128,1330,50000
Maintenance,4601,9824,50000
Packaging,9233,4261,50000
Labor,2039,2300,50000
Packaging,1646,7388,50000
Packaging,8900,9961,50000
Marketing,1606,2171,50000
Utilities,6617,7666,50000
Labor,9849,3145,50000
Transport,7638,1577,50000
Utilities,9138,9051,50000
Raw Materials,1455,6752,50000
Marketing,6196,2311,50000
Utilities,5409,4639,50000
Raw Materials,1922,2326,50000
Labor,5057,9079,50000
Packaging,6320,3159,50000
Maintenance,1326,9277,50000
Utilities,1122,8290,50000
Utilities,6127,4732,50000
Raw Materials,9193,2263,50000
Logistics,2169,6134,50000
Raw Materials,3678,9734,50000
Maintenance,7625,6289,50000
Raw Materials,2065,9509,50000
Raw Materials,2381,8450,50000
Utilities,2674,7150,50000
Maintenance,3618,4016,50000
Maintenance,7835,4405,50000
Packaging,2737,7365,50000
Utilities,7364,3560,50000
Packaging,3096,6520,50000
Labor,1951,4904,50000
Logistics,9551,9508,50000
Logistics,8621,7801,50000
Labor,1751,7188,50000
Logistics,1639,4799,50000
Logistics,2865,1940,50000
Utilities,8965,1531,50000
Raw Materials,9118,9377,50000
Marketing,8195,5261,50000
Labor,3140,6772,50000
Labor,3738,8345,50000
Utilities,7682,6056,50000
Packaging,7782,9139,50000
Utilities,6427,3592,50000
Marketing,9609,9255,50000
Marketing,2951,2707,50000
Logistics,7019,2029,50000
Maintenance,1559,1495,50000
Logistics,9975,1769,50000
Utilities,4771,1767,50000
Labor,7958,8999,50000
Packaging,7647,3149,50000
Logistics,9410,8673,50000
Packaging,9079,2808,50000
Logistics,3176,9132,50000
Logistics,5650,9201,50000
Transport,1943,7014,50000
Transport,2743,9053,50000
Logistics,4982,2182,50000
Raw Materials,4809,6754,50000
Labor,2680,3784,50000
Logistics,1091,5590,50000
Transport,5019,4607,50000
Packaging,6769,1097,50000
Labor,5609,5472,50000
Utilities,9631,6264,50000
Labor,9630,2236,50000
Transport,7774,3820,50000
Packaging,6316,7309,50000
Labor,6474,1709,50000
Marketing,8381,8690,50000
Raw Materials,8375,6991,50000
Maintenance,9820,2486,50000
Packaging,4016,9248,50000
Transport,8075,3019,50000
Utilities,4080,4583,50000
Maintenance,5237,9407,50000
Raw Materials,6961,1151,50000
Packaging,4752,3466,50000
Logistics,4483,8830,50000
Packaging,9896,5142,50000
Marketing,1923,5952,50000
Marketing,8859,5215,50000
Marketing,2555,1370,50000
Marketing,6060,5520,50000
Transport,4627,2846,50000
Packaging,5081,7057,50000
Transport,6819,4622,50000
Labor,3017,6865,50000
Utilities,5190,2195,50000
Labor,9553,3166,50000
Utilities,8814,1280,50000
Raw Materials,6725,4985,50000
Logistics,6685,7566,50000
Labor,4665,8518,50000
Raw Materials,2804,6479,50000
Logistics,9861,2520,50000
Raw Materials,6908,6486,50000
Raw Materials,1799,7122,50000
Marketing,1132,2062,50000
Maintenance,4433,6040,50000
Maintenance,7492,6089,50000
Transport,9738,4085,50000
Raw Materials,9954,2346,50000
Marketing,6678,4326,50000
Labor,6924,5637,50000
Labor,2067,7244,50000
Transport,2301,8234,50000
Transport,6974,9401,50000
Raw Materials,8404,3500,50000
Logistics,9457,2536,50000
Raw Materials,2239,4706,50000
Logistics,1116,9143,50000
Labor,8423,3389,50000
Labor,8923,5478,50000
Labor,9015,6027,50000
Labor,2974,2835,50000
Maintenance,3481,8652,50000
Raw Materials,8107,7626,50000
Raw Materials,5329,2591,50000
Labor,1608,6520,50000
Marketing,1529,5663,50000
Labor,8278,9010,50000
Utilities,2876,5362,50000
Packaging,2658,6017,50000
Packaging,1408,1311,50000
Transport,1217,6215,50000
Utilities,3531,2649,50000
Marketing,5208,9658,50000
Transport,8619,8941,50000
Packaging,5256,3662,50000
Marketing,6189,5620,50000
Transport,9037,3552,50000
Labor,7242,8246,50000
Logistics,1314,8131,50000
Labor,6153,2224,50000
Marketing,1225,4379,50000
Transport,9670,6297,50000
Maintenance,9414,3126,50000
Marketing,7026,7395,50000
Logistics,5615,6686,50000
Marketing,7386,8140,50000
Logistics,9279,8638,50000
Utilities,6078,5981,50000
Raw Materials,1479,3086,50000
Marketing,1308,5624,50000
Maintenance,7798,6301,50000
Labor,1539,4712,50000
Transport,8309,9668,50000
Raw Materials,1089,7553,50000
Transport,3360,4457,50000
Labor,9371,6132,50000
Marketing,1548,7513,50000
Utilities,1001,6156,50000
Maintenance,2057,8093,50000
Raw Materials,8752,8095,50000
Maintenance,6626,4391,50000
Logistics,6045,6695,50000
Packaging,5211,1282,50000
Maintenance,3161,7837,50000
Maintenance,9130,6498,50000
Maintenance,1594,8066,50000
Labor,7622,4171,50000
Maintenance,7007,6548,50000
Utilities,6271,2388,50000
Maintenance,8327,3501,50000
Labor,8516,7814,50000
Logistics,7825,1464,50000
Transport,5282,5464,50000
Labor,7482,5110,50000
Packaging,8336,3161,50000
Packaging,5920,4530,50000
Utilities,1052,8252,50000
Logistics,1256,3176,50000
Utilities,6691,5566,50000
Marketing,8755,9988,50000
Labor,3093,9128,50000
Transport,9206,5733,50000
Marketing,3896,1347,50000
Marketing,3675,6127,50000
Raw Materials,5107,4123,50000
Maintenance,3048,6666,50000
Marketing,3124,9939,50000
Marketing,4785,4990,50000
Utilities,3949,9401,50000
Transport,7984,8551,50000
Marketing,2665,1466,50000
Logistics,7218,4792,50000
Packaging,3898,6823,50000
Transport,8441,3688,50000
Maintenance,6836,5080,50000
Packaging,3803,2619,50000
Utilities,2245,5675,50000
Logistics,3325,5263,50000
Packaging,8525,3436,50000
Raw Materials,9876,2944,50000
Raw Materials,3365,7138,50000
Maintenance,4138,8877,50000
Maintenance,9334,2915,50000
Packaging,9345,3508,50000
Utilities,8261,1592,50000
Logistics,4268,5089,50000
Utilities,5473,6123,50000
Logistics,6726,6634,50000
Labor,8550,8417,50000
Marketing,9185,2418,50000
Marketing,9725,7105,50000
Logistics,7780,6021,50000
Marketing,7969,6616,50000
Transport,1786,2672,50000
Labor,7305,6081,50000
Packaging,1465,2731,50000
Marketing,8565,4588,50000
Transport,1140,8012,50000
Logistics,8802,6237,50000
Logistics,2727,4087,50000
Transport,2991,3380,50000
Raw Materials,3881,5881,50000
Transport,1702,6082,50000
Maintenance,9361,1292,50000
Utilities,3081,1669,50000
Transport,6155,6686,50000
Maintenance,1264,5881,50000
Maintenance,8465,3215,50000
Raw Materials,2763,5901,50000
Packaging,8746,2036,50000
Raw Materials,9198,3172,50000
Logistics,9204,5055,50000
Logistics,6879,8193,50000
Transport,3767,9222,50000
Raw Materials,1947,7198,50000
Raw Materials,4781,5086,50000
Packaging,4346,9511,50000
Utilities,2810,8242,50000
Marketing,8209,2927,50000
Logistics,3712,3520,50000
Transport,8458,4703,50000
Logistics,7879,7866,50000
Packaging,5535,1141,50000
Transport,4109,1056,50000
Logistics,5204,1215,50000
Transport,3477,9267,50000
Raw Materials,7489,8951,50000
Utilities,1380,9446,50000
Raw Materials,3621,1990,50000
Maintenance,4581,8445,50000
Labor,6662,9358,50000
Labor,4101,4543,50000
Packaging,4649,2654,50000
Labor,3205,1985,50000
Packaging,4439,9982,50000
Marketing,2382,7024,50000
Raw Materials,9814,9033,50000
Logistics,3771,8652,50000
Maintenance,6522,6671,50000
Maintenance,7792,1728,50000
